#time,flux,flux_err
131.511948435,1.003399730,0.000266595
131.532383003,1.002719402,0.000266757
131.552817470,1.002815008,0.000266696
131.573251837,1.002271652,0.000266794
131.614120871,1.002500296,0.000266752
131.634555238,1.002455592,0.000266708
131.654989705,1.002347469,0.000266810
131.675424272,1.002849698,0.000266873
131.695858739,1.002960324,0.000266758
131.716293106,1.002554178,0.000266884
131.736727573,1.002982974,0.000266907
131.757162140,1.002613544,0.000266664
131.777596507,1.003204226,0.000266681
131.798030974,1.002837420,0.000266814
131.818465541,1.002727985,0.000266763
131.859334375,1.002809286,0.000266696
131.879768841,1.002747178,0.000266768
131.900203308,1.002675414,0.000266436
131.920637775,1.002896309,0.000266808
131.961506708,1.002852082,0.000267032
131.981941175,1.002489448,0.000266726
132.002375641,1.003379107,0.000266959
132.043244574,1.003069878,0.000266879
132.063679041,1.002648473,0.000267069
132.084113408,1.002433658,0.000266871
132.104547874,1.002895594,0.000266778
132.124982440,1.003014684,0.000267170
132.145416807,1.002427340,0.000266881
132.165851273,1.002790570,0.000266909
132.186285840,1.002532125,0.000266752
132.206720306,1.002611637,0.000266986
132.227154672,1.002534151,0.000266766
132.247589138,1.002819896,0.000266740
132.268023705,1.002938390,0.000267104
132.288458071,1.002899289,0.000266912
132.329327103,1.002744317,0.000267125
132.349761469,1.002819061,0.000267115
132.370195935,1.003102183,0.000267042
132.390630401,1.003037810,0.000266880
132.411064867,1.003122091,0.000266954
132.431499333,1.003167272,0.000266929
132.451933799,1.003313780,0.000267035
132.472368365,1.002936363,0.000266946
132.492802731,1.002936721,0.000267028
132.513237197,1.001991868,0.000266962
132.533671563,1.003375292,0.000266973
132.554106129,1.003396869,0.000267170
132.574540595,1.003629804,0.000267096
132.594974960,1.003046036,0.000267139
132.615409526,1.003119707,0.000267114
132.635843992,1.003040433,0.000267258
132.656278457,1.003047585,0.000267137
132.676712823,1.003065348,0.000266893
132.697147389,1.003593802,0.000266860
132.717581854,1.003386617,0.000267143
132.738016220,1.003217697,0.000267036
132.778885251,1.002970099,0.000266804
132.799319616,1.003576398,0.000266778
132.819754082,1.003352404,0.000266856
132.840188647,1.003436565,0.000266885
132.860623012,1.003711820,0.000267047
132.881057478,1.003565907,0.000266768
132.901492043,1.003512740,0.000266966
132.921926408,1.004307389,0.000266930
132.942360873,1.003656030,0.000267020
132.962795339,1.003326416,0.000267026
132.983229904,1.003818631,0.000267070
133.003664269,1.003502965,0.000267060
133.044533199,1.003921747,0.000267200
133.064967664,1.003453970,0.000267235
133.085402129,1.003994107,0.000267313
133.105836594,1.003482699,0.000267202
133.126271059,1.003956318,0.000267335
133.146705524,1.003790140,0.000267339
133.167139989,1.004112840,0.000267322
133.187574453,1.004337668,0.000267439
133.208009018,1.004144311,0.000267428
133.228443383,1.004899263,0.000267466
133.248877848,1.004275203,0.000267542
133.269312312,1.004103184,0.000267373
133.289746777,1.004502892,0.000267176
133.310181242,1.004131317,0.000267471
133.330615606,1.004133701,0.000267445
133.351050171,1.004236698,0.000267450
133.371484635,1.004547477,0.000267535
133.391919100,1.004274726,0.000267414
133.412353564,1.004580259,0.000267499
133.432788029,1.004647493,0.000267431
133.453222493,1.004293919,0.000267557
133.473656857,1.004485965,0.000267506
133.494091422,1.004752040,0.000267578
133.514525886,1.004349470,0.000267507
133.534960250,1.004696250,0.000267563
133.555394814,1.004859447,0.000267559
133.575829279,1.004254937,0.000267467
133.596263643,1.004244089,0.000267472
133.616698107,1.004656076,0.000267522
133.637132671,1.004241109,0.000267568
133.657567135,1.005054474,0.000267567
133.678001499,1.004514098,0.000267507
133.698436063,1.004784346,0.000267611
133.718870527,1.004435182,0.000267509
133.739304891,1.004803777,0.000267544
133.759739355,1.005046368,0.000267556
133.780173918,1.004765630,0.000267675
133.800608282,1.004829407,0.000267676
133.821042746,1.005016804,0.000267636
133.841477210,1.004564524,0.000267499
133.861911673,1.004807353,0.000267625
133.902780600,1.005463839,0.000267635
133.923215064,1.004713535,0.000267633
133.964083991,1.004884601,0.000267499
133.984518354,1.004977465,0.000267488
134.004952918,1.005007744,0.000267582
134.025387381,1.004930139,0.000267600
134.045821745,1.004934907,0.000267629
134.066256308,1.004724622,0.000267597
134.086690771,1.005297780,0.000267639
134.107125134,1.005129457,0.000267637
134.127559598,1.005545735,0.000267613
134.147994161,1.004960060,0.000267672
134.188862987,1.005405664,0.000267656
134.209297550,1.005533218,0.000267692
134.229732013,1.005728960,0.000267581
134.250166376,1.005502582,0.000267629
134.270600839,1.005571604,0.000267519
134.291035402,1.005548477,0.000267723
134.311469764,1.005758047,0.000267766
134.331904227,1.005402088,0.000267756
134.352338790,1.005533934,0.000267659
134.372773153,1.005425096,0.000267586
134.413642078,1.005255342,0.000267651
134.434076541,1.005410671,0.000267651
134.454511003,1.005563021,0.000267749
134.474945466,1.005325198,0.000267757
134.495380028,1.006597519,0.000267832
134.515814391,1.005135775,0.000267661
134.536248853,1.005724788,0.000267734
134.556683215,1.005978465,0.000267601
134.577117778,1.005765796,0.000267644
134.597552240,1.005380273,0.000267577
134.617986602,1.005710125,0.000267688
134.638421065,1.005642414,0.000267673
134.658855627,1.005622983,0.000267703
134.679290089,1.005721927,0.000267693
134.699724551,1.006068826,0.000267769
134.720159013,1.005800128,0.000267779
134.740593475,1.006637931,0.000267816
134.761027837,1.006296158,0.000267797
134.781462299,1.005498409,0.000267793
134.801896861,1.005424261,0.000267758
134.822331323,1.006381989,0.000267870
134.842765684,1.005627990,0.000267778
134.863200246,1.005751848,0.000267769
134.883634708,1.005764842,0.000267797
134.924503531,1.005799890,0.000267888
134.944938093,1.005752563,0.000267797
134.965372554,1.005572915,0.000267768
134.985806916,1.005845666,0.000267888
135.006241477,1.005375624,0.000267746
135.026675939,1.005643725,0.000267787
135.047110300,1.005684376,0.000267860
135.067544761,1.005707383,0.000267820
135.087979323,1.005876541,0.000267746
135.108413684,1.005894542,0.000267684
135.128848145,1.005876422,0.000267715
135.149282706,1.005910635,0.000267850
135.190151529,1.005824924,0.000267730
135.210585990,1.005789757,0.000267376
135.231020551,1.006029010,0.000267666
135.251454912,1.006554008,0.000267863
135.271889372,1.005864739,0.000267558
135.292323733,1.006085515,0.000267639
135.312758294,1.005684853,0.000267559
135.333192755,1.006201148,0.000267784
135.353627116,1.006132126,0.000267624
135.374061676,1.005461454,0.000267677
135.394496137,1.006023169,0.000267538
135.414930598,1.006307483,0.000267769
135.435364958,1.006043911,0.000267714
135.455799519,1.005510330,0.000267720
135.476233979,1.005974531,0.000267705
135.496668340,1.006374121,0.000267825
135.517102900,1.005875826,0.000267716
135.537537360,1.006161451,0.000267639
135.557971721,1.006108761,0.000267656
135.578406181,1.006123066,0.000267647
135.598840741,1.005921006,0.000267682
135.619275101,1.006336331,0.000267742
135.639709561,1.006034613,0.000267699
135.660144122,1.005707026,0.000267704
135.680578582,1.005710959,0.000267703
135.701012942,1.006298780,0.000267625
135.721447401,1.005787373,0.000267593
135.741881961,1.005589843,0.000267538
135.762316321,1.005972147,0.000267665
135.782750781,1.005971432,0.000267622
135.803185341,1.005944490,0.000267720
135.823619700,1.005733013,0.000267715
135.844054160,1.005070925,0.000267659
135.864488620,0.996997058,0.000266899
135.884923079,0.982304335,0.000265429
135.905357539,0.962913454,0.000263607
135.925791998,0.939452708,0.000261778
135.946226358,0.915040851,0.000259484
135.966660917,0.883030117,0.000256659
135.987095377,0.851399302,0.000253921
136.007529736,0.817957163,0.000250785
136.027964295,0.782731771,0.000247383
136.048398754,0.747124016,0.000244293
136.068833113,0.710680723,0.000240593
136.089267573,0.675183296,0.000237305
136.109702132,0.640257061,0.000233782
136.130136591,0.608392119,0.000230870
136.150570950,0.581082880,0.000227940
136.171005509,0.564847231,0.000226335
136.191439967,0.565694571,0.000226409
136.211874326,0.585009575,0.000228452
136.232308785,0.612115562,0.000231221
136.252743344,0.645007193,0.000234295
136.273177702,0.679476023,0.000237810
136.293612161,0.715987384,0.000241248
136.314046720,0.751988590,0.000244810
136.334481078,0.787636638,0.000248124
136.354915537,0.822182715,0.000251376
136.375349995,0.855656385,0.000254457
136.395784454,0.887322903,0.000257305
136.416218912,0.916223168,0.000259651
136.436653370,0.942374825,0.000262208
136.457087928,0.965736747,0.000264089
136.477522287,0.984072745,0.000265638
136.497956745,0.998051405,0.000266865
136.518391203,1.005037546,0.000267466
136.538825661,1.005813003,0.000267622
136.559260119,1.005410910,0.000267641
136.600129035,1.005959392,0.000267592
136.620563493,1.005604386,0.000267441
136.640997950,1.005977273,0.000267631
136.661432408,1.005591631,0.000267502
136.681866866,1.006037593,0.000267716
136.702301324,1.005911946,0.000267533
136.722735781,1.005645275,0.000267619
136.743170139,1.006273508,0.000267771
136.763604696,1.005860925,0.000267677
136.784039154,1.005408049,0.000267597
136.804473511,1.005227447,0.000267614
136.824908068,1.005511999,0.000267646
136.845342526,1.005317688,0.000267589
136.865776983,1.005296826,0.000267650
136.886211340,1.005028844,0.000267467
136.906645897,1.005293727,0.000267509
136.947514712,1.005354762,0.000267698
136.967949268,1.005287528,0.000267605
137.008818082,1.005470395,0.000267576
137.029252539,1.005796671,0.000267530
137.049687096,1.005202651,0.000267675
137.070121453,1.005374074,0.000267485
137.090555910,1.004942656,0.000267692
137.110990466,1.005235195,0.000267621
137.131424823,1.005218744,0.000267498
137.151859279,1.005773902,0.000267450
137.172293736,1.005223870,0.000267489
137.192728292,1.005147696,0.000267348
137.213162649,1.005552649,0.000267387
137.233597105,1.005429506,0.000267471
137.254031461,1.005263090,0.000267393
137.274466017,1.005226135,0.000267380
137.294900474,1.005408287,0.000267264
137.315334830,1.005141258,0.000267357
137.335769386,1.005273819,0.000267556
137.356203842,1.004923582,0.000267445
137.397072654,1.005154133,0.000266989
137.417507209,1.005202055,0.000267519
137.458376021,1.005547643,0.000267344
137.478810577,1.005209684,0.000267288
137.499245032,1.004637003,0.000267257
137.519679388,1.005108714,0.000267504
137.540113844,1.004989505,0.000267445
137.560548399,1.004839420,0.000267436
137.580982754,1.005057931,0.000267407
137.601417210,1.004850030,0.000267482
137.621851765,1.004991055,0.000267462
137.642286220,1.004822850,0.000267401
137.662720576,1.005021453,0.000267579
137.683155031,1.004994988,0.000267660
137.703589586,1.005085111,0.000267373
137.724023941,1.004323721,0.000267514
137.744458396,1.005098820,0.000267502
137.764892951,1.004166484,0.000267355
137.785327306,1.004255414,0.000267463
137.805761761,1.004875541,0.000267480
137.826196115,1.004957795,0.000267567
137.846630670,1.004794836,0.000267569
137.887499579,1.004808426,0.000267497
137.907933934,1.004681349,0.000267583
137.928368488,1.004957438,0.000267624
137.948802943,1.004631758,0.000267486
137.969237297,1.004345179,0.000267397
137.989671852,1.003811002,0.000267428
138.010106306,1.004277349,0.000267229
138.030540660,1.004649639,0.000267379
138.050975114,1.004935861,0.000267574
138.071409668,1.004472256,0.000267392
138.091844123,1.004891753,0.000267543
138.112278477,1.004645586,0.000267468
138.132713030,1.004545331,0.000267550
138.153147484,1.004536271,0.000267510
138.173581838,1.005227089,0.000267530
138.194016292,1.004469991,0.000267534
138.214450846,1.003847480,0.000267372
138.234885299,1.004091620,0.000267549
138.255319653,1.004560113,0.000267484
138.275754207,1.004356623,0.000267564
138.296188660,1.004481554,0.000267580
138.316623013,1.004429817,0.000267466
